2024-08-16 12:47:33.015 +05 [7424] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-16 12:47:33.876 +05 [7424] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.060 сек., синхр.=0.374 сек., всего=0.861 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.164 сек., средняя=0.054 сек.; расстояние=5200 kB, ожидалось=5200 kB; lsn=0/1A6F57C8, lsn redo=0/1A6F5790
2024-08-16 12:48:02.052 +05 [7424] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-16 12:48:02.547 +05 [7424] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.028 сек., синхр.=0.274 сек., всего=0.496 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.054 сек., средняя=0.028 сек.; расстояние=5284 kB, ожидалось=5284 kB; lsn=0/1AC1E930, lsn redo=0/1AC1E8F8
2024-08-16 12:52:40.834 +05 [7424] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-16 12:52:41.190 +05 [7424] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.023 сек., синхр.=0.200 сек., всего=0.357 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.049 сек., средняя=0.023 сек.; расстояние=5273 kB, ожидалось=5283 kB; lsn=0/1B144F40, lsn redo=0/1B144F08
2024-08-16 12:53:03.978 +05 [7424] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-16 12:53:04.296 +05 [7424] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.008 сек., синхр.=0.204 сек., всего=0.319 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.041 сек., средняя=0.021 сек.; расстояние=5215 kB, ожидалось=5276 kB; lsn=0/1B65CE00, lsn redo=0/1B65CDC8
2024-08-16 12:58:03.300 +05 [7424] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-16 12:58:03.970 +05 [7424] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.448 сек., синхр.=0.113 сек., всего=0.671 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.035 сек., средняя=0.023 сек.; расстояние=16 kB, ожидалось=4750 kB; lsn=0/1B660F70, lsn redo=0/1B660F38
2024-08-16 13:38:18.149 +05 [7424] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-16 13:38:18.484 +05 [7424] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.029 сек., синхр.=0.168 сек., всего=0.335 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.042 сек., средняя=0.024 сек.; расстояние=5201 kB, ожидалось=5201 kB; lsn=0/1BB755A8, lsn redo=0/1BB75570
2024-08-16 13:43:18.497 +05 [7424] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-16 13:43:19.560 +05 [7424] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.773 сек., синхр.=0.189 сек., всего=1.064 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.033 сек., средняя=0.024 сек.; расстояние=29 kB, ожидалось=4684 kB; lsn=0/1BB7CD30, lsn redo=0/1BB7CCF8
2024-08-16 13:44:00.397 +05 [7424] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-16 13:44:00.717 +05 [7424] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.021 сек., синхр.=0.168 сек., всего=0.321 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.039 сек., средняя=0.021 сек.; расстояние=5282 kB, ожидалось=5282 kB; lsn=0/1C0A5898, lsn redo=0/1C0A5860
2024-08-16 13:44:49.784 +05 [7424] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-16 13:44:50.088 +05 [7424] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 10 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.011 сек., синхр.=0.178 сек., всего=0.305 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.050 сек., средняя=0.020 сек.; расстояние=5219 kB, ожидалось=5276 kB; lsn=0/1C5BE890, lsn redo=0/1C5BE858
2024-08-16 13:49:49.105 +05 [7424] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-16 13:49:50.265 +05 [7424] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.901 сек., синхр.=0.178 сек., всего=1.161 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.031 сек., средняя=0.023 сек.; расстояние=34 kB, ожидалось=4752 kB; lsn=0/1C5C70C0, lsn redo=0/1C5C7088
