2024-08-09 11:30:56.757 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 11:30:57.244 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.062 сек., синхр.=0.238 сек., всего=0.488 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.057 сек., средняя=0.030 сек.; расстояние=5217 kB, ожидалось=5217 kB; lsn=0/FE63498, lsn redo=0/FE63460
2024-08-09 11:35:56.264 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 11:35:57.057 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.579 сек., синхр.=0.096 сек., всего=0.793 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.024 сек., средняя=0.020 сек.; расстояние=22 kB, ожидалось=4698 kB; lsn=0/FE69088, lsn redo=0/FE69050
2024-08-09 11:38:50.395 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 11:38:50.722 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.011 сек., синхр.=0.166 сек., всего=0.328 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.040 сек., средняя=0.024 сек.; расстояние=5222 kB, ожидалось=5222 kB; lsn=0/103829F0, lsn redo=0/103829B8
2024-08-09 11:43:50.741 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 11:43:51.921 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.887 сек., синхр.=0.165 сек., всего=1.181 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.030 сек., средняя=0.021 сек.; расстояние=34 kB, ожидалось=4703 kB; lsn=0/1038B258, lsn redo=0/1038B220
2024-08-09 11:45:21.517 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 11:45:21.805 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.009 сек., синхр.=0.169 сек., всего=0.288 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.042 сек., средняя=0.022 сек.; расстояние=5217 kB, ожидалось=5217 kB; lsn=0/108A3A48, lsn redo=0/108A3A10
2024-08-09 11:47:56.550 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 11:47:56.878 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.022 сек., синхр.=0.189 сек., всего=0.328 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.040 сек., средняя=0.021 сек.; расстояние=5245 kB, ожидалось=5245 kB; lsn=0/10DC2FF8, lsn redo=0/10DC2FC0
2024-08-09 11:52:56.897 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 11:52:58.265 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.067 сек., синхр.=0.173 сек., всего=1.368 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.034 сек., средняя=0.022 сек.; расстояние=36 kB, ожидалось=4724 kB; lsn=0/10DCC200, lsn redo=0/10DCC1C8
2024-08-09 11:58:23.503 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 11:58:23.825 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.008 сек., синхр.=0.176 сек., всего=0.322 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.037 сек., средняя=0.022 сек.; расстояние=5295 kB, ожидалось=5295 kB; lsn=0/112F8050, lsn redo=0/112F8018
2024-08-09 12:03:23.841 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 12:03:24.619 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.565 сек., синхр.=0.099 сек., всего=0.778 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.025 сек., средняя=0.020 сек.; расстояние=20 kB, ожидалось=4768 kB; lsn=0/112FD2A8, lsn redo=0/112FD270
2024-08-09 12:05:44.426 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 12:05:44.992 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.010 сек., синхр.=0.270 сек., всего=0.566 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.051 сек., средняя=0.039 сек.; расстояние=5226 kB, ожидалось=5226 kB; lsn=0/11817B20, lsn redo=0/11817AE8
2024-08-09 12:07:49.870 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 12:07:50.477 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 12 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.011 сек., синхр.=0.255 сек., всего=0.607 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.071 сек., средняя=0.026 сек.; расстояние=5250 kB, ожидалось=5250 kB; lsn=0/11D38400, lsn redo=0/11D383C8
2024-08-09 12:09:24.908 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 12:09:25.297 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.033 сек., синхр.=0.178 сек., всего=0.390 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.027 сек., средняя=0.020 сек.; расстояние=5323 kB, ожидалось=5323 kB; lsn=0/1226B2D8, lsn redo=0/1226B2A0
2024-08-09 12:14:24.313 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 12:14:25.504 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.898 сек., синхр.=0.188 сек., всего=1.191 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.032 сек., средняя=0.024 сек.; расстояние=34 kB, ожидалось=4794 kB; lsn=0/12273B40, lsn redo=0/12273B08
2024-08-09 12:49:01.181 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 12:49:01.580 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.084 сек., синхр.=0.193 сек., всего=0.400 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.042 сек., средняя=0.025 сек.; расстояние=5220 kB, ожидалось=5220 kB; lsn=0/1278CEE8, lsn redo=0/1278CEB0
2024-08-09 12:52:24.570 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 12:52:24.897 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.033 сек., синхр.=0.179 сек., всего=0.328 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.028 сек., средняя=0.020 сек.; расстояние=5320 kB, ожидалось=5320 kB; lsn=0/12CBF2B8, lsn redo=0/12CBF280
2024-08-09 12:53:32.981 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 12:53:33.795 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 12 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.014 сек., синхр.=0.391 сек., всего=0.815 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.063 сек., средняя=0.040 сек.; расстояние=5252 kB, ожидалось=5314 kB; lsn=0/131E05A0, lsn redo=0/131E0568
2024-08-09 12:53:59.228 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 12:54:00.106 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.008 сек., синхр.=0.299 сек., всего=0.878 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.084 сек., средняя=0.043 сек.; расстояние=5226 kB, ожидалось=5305 kB; lsn=0/136FAE58, lsn redo=0/136FAE20
2024-08-09 12:58:59.130 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 12:59:00.326 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.924 сек., синхр.=0.177 сек., всего=1.197 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.030 сек., средняя=0.023 сек.; расстояние=34 kB, ожидалось=4778 kB; lsn=0/13703700, lsn redo=0/137036C8
2024-08-09 13:04:58.333 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 13:04:58.722 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.011 сек., синхр.=0.173 сек., всего=0.390 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.047 сек., средняя=0.022 сек.; расстояние=5223 kB, ожидалось=5223 kB; lsn=0/13C1D358, lsn redo=0/13C1D320
2024-08-09 13:09:58.749 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 13:09:59.555 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.560 сек., синхр.=0.103 сек., всего=0.807 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.029 сек., средняя=0.021 сек.; расстояние=21 kB, ожидалось=4702 kB; lsn=0/13C228B0, lsn redo=0/13C22878
2024-08-09 13:49:29.239 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 13:49:29.839 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.030 сек., синхр.=0.207 сек., всего=0.600 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.053 сек., средняя=0.030 сек.; расстояние=5227 kB, ожидалось=5227 kB; lsn=0/1413D810, lsn redo=0/1413D7D8
2024-08-09 13:54:29.896 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 13:54:31.092 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.892 сек., синхр.=0.183 сек., всего=1.196 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.032 сек., средняя=0.023 сек.; расстояние=36 kB, ожидалось=4708 kB; lsn=0/14146A18, lsn redo=0/141469E0
2024-08-09 14:00:14.845 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 14:00:15.199 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.015 сек., синхр.=0.169 сек., всего=0.354 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.040 сек., средняя=0.022 сек.; расстояние=5222 kB, ожидалось=5222 kB; lsn=0/146602E8, lsn redo=0/146602B0
2024-08-09 14:05:14.207 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 14:05:14.975 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.551 сек., синхр.=0.110 сек., всего=0.769 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.024 сек., средняя=0.022 сек.; расстояние=20 kB, ожидалось=4702 kB; lsn=0/14665500, lsn redo=0/146654C8
2024-08-09 14:14:00.013 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 14:14:00.408 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.038 сек., синхр.=0.147 сек., всего=0.395 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.030 сек., средняя=0.021 сек.; расстояние=5226 kB, ожидалось=5226 kB; lsn=0/14B800A0, lsn redo=0/14B80068
2024-08-09 14:14:38.700 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 14:14:39.085 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 12 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.014 сек., синхр.=0.226 сек., всего=0.386 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.036 сек., средняя=0.023 сек.; расстояние=5252 kB, ожидалось=5252 kB; lsn=0/150A1178, lsn redo=0/150A1140
2024-08-09 14:19:07.564 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 14:19:07.945 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.010 сек., синхр.=0.208 сек., всего=0.381 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.035 сек., средняя=0.024 сек.; расстояние=5250 kB, ожидалось=5251 kB; lsn=0/155C19D8, lsn redo=0/155C19A0
2024-08-09 14:22:44.855 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 14:22:45.188 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.009 сек., синхр.=0.210 сек., всего=0.334 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.039 сек., средняя=0.021 сек.; расстояние=5004 kB, ожидалось=5227 kB; lsn=0/15AA4D78, lsn redo=0/15AA4D40
2024-08-09 14:23:07.651 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 14:23:07.931 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.007 сек., синхр.=0.146 сек., всего=0.281 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.040 сек., средняя=0.021 сек.; расстояние=4979 kB, ожидалось=5202 kB; lsn=0/15F81AA0, lsn redo=0/15F81A68
2024-08-09 14:27:17.922 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 14:27:18.286 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 12 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.012 сек., синхр.=0.218 сек., всего=0.364 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.046 сек., средняя=0.022 сек.; расстояние=5007 kB, ожидалось=5182 kB; lsn=0/164658D0, lsn redo=0/16465898
2024-08-09 14:28:25.223 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 14:28:25.522 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.012 сек., синхр.=0.177 сек., всего=0.299 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.037 сек., средняя=0.020 сек.; расстояние=5048 kB, ожидалось=5169 kB; lsn=0/16953C98, lsn redo=0/16953C60
2024-08-09 14:33:25.535 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 14:33:26.698 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.890 сек., синхр.=0.166 сек., всего=1.164 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.027 сек., средняя=0.021 сек.; расстояние=33 kB, ожидалось=4656 kB; lsn=0/1695C478, lsn redo=0/1695C440
2024-08-09 14:41:34.632 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 14:41:34.945 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.008 сек., синхр.=0.180 сек., всего=0.313 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.037 сек., средняя=0.023 сек.; расстояние=5223 kB, ожидалось=5223 kB; lsn=0/16E763F8, lsn redo=0/16E763C0
2024-08-09 14:46:34.967 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 14:46:35.737 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.563 сек., синхр.=0.105 сек., всего=0.770 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.032 сек., средняя=0.021 сек.; расстояние=21 kB, ожидалось=4703 kB; lsn=0/16E7B938, lsn redo=0/16E7B900
2024-08-09 14:50:32.637 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 14:50:33.148 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 16 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.045 сек., синхр.=0.289 сек., всего=0.512 сек.; синхронизировано_файлов=15, самая_долгая_синхр.=0.035 сек., средняя=0.020 сек.; расстояние=5235 kB, ожидалось=5235 kB; lsn=0/173987E8, lsn redo=0/173987B0
2024-08-09 14:55:32.181 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 14:55:33.359 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.892 сек., синхр.=0.172 сек., всего=1.179 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.034 сек., средняя=0.022 сек.; расстояние=36 kB, ожидалось=4715 kB; lsn=0/173A19D8, lsn redo=0/173A19A0
2024-08-09 15:24:24.676 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 15:24:25.021 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.027 сек., синхр.=0.157 сек., всего=0.346 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.030 сек., средняя=0.020 сек.; расстояние=5225 kB, ожидалось=5225 kB; lsn=0/178BC060, lsn redo=0/178BC028
2024-08-09 15:29:24.061 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 15:29:24.826 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.563 сек., синхр.=0.101 сек., всего=0.766 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.027 сек., средняя=0.021 сек.; расстояние=20 kB, ожидалось=4705 kB; lsn=0/178C12B8, lsn redo=0/178C1280
2024-08-09 15:54:24.907 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 15:54:25.150 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.040 сек., всего=0.243 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.034 сек., средняя=0.020 сек.; расстояние=2 kB, ожидалось=4234 kB; lsn=0/178C1E78, lsn redo=0/178C1E40
2024-08-09 15:59:24.192 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 15:59:26.415 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 16 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.713 сек., синхр.=0.350 сек., всего=2.224 сек.; синхронизировано_файлов=13, самая_долгая_синхр.=0.044 сек., средняя=0.027 сек.; расстояние=3 kB, ожидалось=3811 kB; lsn=0/178C2AA0, lsn redo=0/178C2A68
2024-08-09 16:14:24.444 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 16:14:26.555 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 16 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.669 сек., синхр.=0.348 сек., всего=2.111 сек.; синхронизировано_файлов=16, самая_долгая_синхр.=0.031 сек., средняя=0.022 сек.; расстояние=9 kB, ожидалось=3431 kB; lsn=0/178C5098, lsn redo=0/178C5060
2024-08-09 16:21:13.385 +05 [2444] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-08-09 16:21:13.385 +05 [2444] ПОДРОБНОСТИ:  Подключение соответствует строке 115 в "D:/Documents/myworks/myCodes/Python/django/store-server/store/psql/data/pg_hba.conf": "host    all             all             127.0.0.1/32            scram-sha-256"
2024-08-09 16:21:19.401 +05 [22968] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-08-09 16:21:19.401 +05 [22968] ПОДРОБНОСТИ:  Подключение соответствует строке 115 в "D:/Documents/myworks/myCodes/Python/django/store-server/store/psql/data/pg_hba.conf": "host    all             all             127.0.0.1/32            scram-sha-256"
2024-08-09 16:24:24.629 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 16:24:28.052 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 25 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.990 сек., синхр.=0.283 сек., всего=3.423 сек.; синхронизировано_файлов=12, самая_долгая_синхр.=0.036 сек., средняя=0.024 сек.; расстояние=69 kB, ожидалось=3095 kB; lsn=0/178D65A8, lsn redo=0/178D6570
2024-08-09 16:29:24.122 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 16:29:25.914 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.227 сек., синхр.=0.389 сек., всего=1.792 сек.; синхронизировано_файлов=11, самая_долгая_синхр.=0.049 сек., средняя=0.036 сек.; расстояние=4 kB, ожидалось=2786 kB; lsn=0/178D7828, lsn redo=0/178D77F0
2024-08-09 16:33:53.729 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 16:33:54.787 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 22 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.227 сек., синхр.=0.595 сек., всего=1.059 сек.; синхронизировано_файлов=21, самая_долгая_синхр.=0.043 сек., средняя=0.029 сек.; расстояние=5239 kB, ожидалось=5239 kB; lsn=0/17DF5700, lsn redo=0/17DF56C8
2024-08-09 16:38:53.882 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 16:38:56.227 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 18 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.908 сек., синхр.=0.282 сек., всего=2.345 сек.; синхронизировано_файлов=14, самая_долгая_синхр.=0.046 сек., средняя=0.021 сек.; расстояние=60 kB, ожидалось=4721 kB; lsn=0/17E049C0, lsn redo=0/17E04988
2024-08-09 16:43:53.306 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-09 16:44:56.786 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 562 (3.4%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=63.190 сек., синхр.=0.179 сек., всего=63.481 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.034 сек., средняя=0.018 сек.; расстояние=5301 kB, ожидалось=5301 kB; lsn=0/183340D8, lsn redo=0/18331DE0
2024-08-09 16:44:56.895 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 16:44:59.459 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.005 сек., синхр.=0.174 сек., всего=2.565 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.068 сек., средняя=0.044 сек.; расстояние=8 kB, ожидалось=4771 kB; lsn=0/18334188, lsn redo=0/18334150
2024-08-09 16:45:17.401 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 16:45:17.833 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.011 сек., синхр.=0.244 сек., всего=0.433 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.082 сек., средняя=0.035 сек.; расстояние=5226 kB, ожидалось=5226 kB; lsn=0/1884EA68, lsn redo=0/1884EA30
2024-08-09 16:45:53.540 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 16:45:53.867 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.014 сек., синхр.=0.193 сек., всего=0.327 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.042 сек., средняя=0.020 сек.; расстояние=5246 kB, ожидалось=5246 kB; lsn=0/18D6E620, lsn redo=0/18D6E5E8
2024-08-09 16:47:06.524 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-09 16:47:06.934 +05 [6016] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 10 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.033 сек., синхр.=0.179 сек., всего=0.411 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.029 сек., средняя=0.020 сек.; расстояние=5248 kB, ожидалось=5248 kB; lsn=0/1928E810, lsn redo=0/1928E7D8
2024-08-09 16:52:06.969 +05 [6016] СООБЩЕНИЕ:  начата контрольная точка: time
