2024-07-31 10:45:20.672 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: time
2024-07-31 10:46:27.241 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 589 (3.6%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=66.227 сек., синхр.=0.186 сек., всего=66.572 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.045 сек., средняя=0.024 сек.; расстояние=5289 kB, ожидалось=5289 kB; lsn=0/8D141F8, lsn redo=0/8D10F08
2024-07-31 10:46:27.386 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-07-31 10:46:27.624 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.003 сек., синхр.=0.094 сек., всего=0.239 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.048 сек., средняя=0.047 сек.; расстояние=12 kB, ожидалось=4761 kB; lsn=0/8D142A8, lsn redo=0/8D14270
2024-07-31 10:51:27.633 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: time
2024-07-31 10:51:28.187 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.337 сек., синхр.=0.079 сек., всего=0.554 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.033 сек., средняя=0.020 сек.; расстояние=4 kB, ожидалось=4285 kB; lsn=0/8D15400, lsn redo=0/8D153C8
2024-07-31 10:56:27.185 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: time
2024-07-31 10:56:46.356 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 177 (1.1%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=18.911 сек., синхр.=0.126 сек., всего=19.171 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.031 сек., средняя=0.018 сек.; расстояние=5300 kB, ожидалось=5300 kB; lsn=0/9245B48, lsn redo=0/9242700
2024-07-31 10:56:46.401 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-07-31 10:56:46.637 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.009 сек., синхр.=0.077 сек., всего=0.236 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.049 сек., средняя=0.039 сек.; расстояние=13 kB, ожидалось=4772 kB; lsn=0/9245BF8, lsn redo=0/9245BC0
2024-07-31 11:01:46.642 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: time
2024-07-31 11:01:47.719 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.798 сек., синхр.=0.147 сек., всего=1.078 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.025 сек., средняя=0.019 сек.; расстояние=27 kB, ожидалось=4297 kB; lsn=0/924C868, lsn redo=0/924C830
2024-07-31 11:03:22.167 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-07-31 11:03:22.493 +05 [5804] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.014 сек., синхр.=0.176 сек., всего=0.327 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.041 сек., средняя=0.022 сек.; расстояние=5224 kB, ожидалось=5224 kB; lsn=0/9766B58, lsn redo=0/9766B20
2024-07-31 11:08:22.503 +05 [5804] СООБЩЕНИЕ:  начата контрольная точка: time
