2024-08-05 14:01:09.708 +05 [4680] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-05 14:01:10.117 +05 [4680] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.038 сек., синхр.=0.207 сек., всего=0.410 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.046 сек., средняя=0.026 сек.; расстояние=5216 kB, ожидалось=5216 kB; lsn=0/DF80340, lsn redo=0/DF80308
2024-08-05 14:02:22.403 +05 [4680] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-05 14:02:22.769 +05 [4680] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=0.021 сек., синхр.=0.144 сек., всего=0.367 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.038 сек., средняя=0.021 сек.; расстояние=5221 kB, ожидалось=5221 kB; lsn=0/E499840, lsn redo=0/E499808
2024-08-05 14:04:04.983 +05 [4680] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2024-08-05 14:04:05.340 +05 [4680] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.019 сек., синхр.=0.214 сек., всего=0.357 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.041 сек., средняя=0.022 сек.; расстояние=5245 kB, ожидалось=5245 kB; lsn=0/E9B8F10, lsn redo=0/E9B8ED8
2024-08-05 14:09:04.357 +05 [4680] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-05 14:09:05.120 +05 [4680] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.565 сек., синхр.=0.101 сек., всего=0.763 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.028 сек., средняя=0.021 сек.; расстояние=21 kB, ожидалось=4723 kB; lsn=0/E9BE468, lsn redo=0/E9BE430
2024-08-05 14:19:04.141 +05 [4680] СООБЩЕНИЕ:  начата контрольная точка: time
2024-08-05 14:21:06.819 +05 [4680] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1067 (6.5%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=118.886 сек., синхр.=3.694 сек., всего=122.679 сек.; синхронизировано_файлов=438, самая_долгая_синхр.=0.039 сек., средняя=0.009 сек.; расстояние=5298 kB, ожидалось=5298 kB; lsn=0/EEEAF28, lsn redo=0/EEEAEF0
2024-08-05 14:32:56.465 +05 [4680] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
